"Name","Synopsis","Severity"
"Azure.ACR.AdminUser","The local admin account allows depersonalized access to a container registry using a shared secret.","Critical"
"Azure.ACR.AnonymousAccess","Anonymous pull access allows unidentified downloading of images and metadata from a container registry.","Important"
"Azure.ACR.ContainerScan","Container images or their base images may have vulnerabilities discovered after they are built.","Critical"
"Azure.ACR.Firewall","Container Registry without restrictions can be accessed from any network location including the Internet.","Important"
"Azure.ACR.GeoReplica","Applications or infrastructure relying on a container image may fail if the registry is not available at the time they start.","Important"
"Azure.ACR.ImageHealth","Remove container images with known vulnerabilities.","Critical"
"Azure.ACR.MinSku","The Basic SKU provides limited performance and features for production container registry workloads.","Important"
"Azure.ACR.Name","Container registry names should meet naming requirements.","Awareness"
"Azure.ACR.Quarantine","Enable container image quarantine, scan, and mark images as verified.","Important"
"Azure.ACR.ReplicaLocation","The replication location determines the country or region where container images and metadata are stored and processed.","Important"
"Azure.ACR.Retention","Use a retention policy to cleanup untagged manifests.","Important"
"Azure.ACR.SoftDelete","Container registry artifacts are permanently lost when accidentally deleted without soft delete protection.","Important"
"Azure.ACR.Usage","Regularly remove deprecated and unneeded images to reduce storage usage.","Important"
"Azure.ADX.DiskEncryption","Use disk encryption for Azure Data Explorer (ADX) clusters.","Important"
"Azure.ADX.ManagedIdentity","Configure Data Explorer clusters to use managed identities to access Azure resources securely.","Important"
"Azure.ADX.SLA","Use SKUs that include an SLA when configuring Azure Data Explorer (ADX) clusters.","Important"
"Azure.ADX.Usage","Regularly remove unused resources to reduce costs.","Important"
"Azure.AI.DisableLocalAuth","Access keys allow depersonalized access to Azure AI using a shared secret.","Important"
"Azure.AI.FoundryNaming","Azure AI Foundry accounts without a standard naming convention may be difficult to identify and manage.","Awareness"
"Azure.AI.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.AI.PrivateEndpoints","Use Private Endpoints to access Azure AI services accounts.","Important"
"Azure.AI.PublicAccess","Restrict access of Azure AI services to authorized virtual networks.","Important"
"Azure.AKS.AuditAdmin","Use kube-audit-admin instead of kube-audit to capture administrative actions in AKS clusters.","Important"
"Azure.AKS.AuditLogs","AKS clusters should collect security-based audit logs to assess and monitor the compliance status of workloads.","Important"
"Azure.AKS.AuthorizedIPs","Restrict access to API server endpoints to authorized IP addresses.","Important"
"Azure.AKS.AutoScaling","Use autoscaling to scale clusters based on workload requirements.","Important"
"Azure.AKS.AutoUpgrade","New versions of Kubernetes are released regularly. Upgrading each release manually can add operational overhead without realizing equivalent value.","Important"
"Azure.AKS.AvailabilityZone","AKS clusters deployed with virtual machine scale sets should use availability zones in supported regions for high availability.","Important"
"Azure.AKS.AzurePolicyAddOn","Configure Azure Kubernetes Service (AKS) clusters to use Azure Policy Add-on for Kubernetes.","Important"
"Azure.AKS.AzureRBAC","Use Azure RBAC for Kubernetes Authorization with AKS clusters.","Important"
"Azure.AKS.CNISubnetSize","AKS clusters using Azure CNI should use large subnets to reduce IP exhaustion issues.","Important"
"Azure.AKS.ContainerInsights","Enable Container insights to monitor AKS cluster workloads.","Important"
"Azure.AKS.DefenderProfile","Enable the Defender profile with Azure Kubernetes Service (AKS) cluster.","Important"
"Azure.AKS.DNSPrefix","Azure Kubernetes Service (AKS) cluster DNS prefix should meet naming requirements.","Awareness"
"Azure.AKS.EphemeralOSDisk","AKS clusters should use ephemeral OS disks which can provide lower read/write latency, along with faster node scaling and cluster upgrades.","Important"
"Azure.AKS.HttpAppRouting","Disable HTTP application routing add-on in AKS clusters.","Important"
"Azure.AKS.LocalAccounts","Enforce named user accounts with RBAC assigned permissions.","Important"
"Azure.AKS.MaintenanceWindow","Configure customer-controlled maintenance windows for AKS clusters.","Important"
"Azure.AKS.ManagedAAD","Use AKS-managed Azure AD to simplify authorization and improve security.","Important"
"Azure.AKS.ManagedIdentity","Configure AKS clusters to use managed identities for managing cluster infrastructure.","Important"
"Azure.AKS.MinNodeCount","AKS clusters should have minimum number of system nodes for failover and updates.","Important"
"Azure.AKS.MinUserPoolNodes","User node pools in an AKS cluster should have a minimum number of nodes for failover and updates.","Important"
"Azure.AKS.Name","Azure Kubernetes Service (AKS) cluster names should meet naming requirements.","Awareness"
"Azure.AKS.NetworkPolicy","AKS clusters without inter-pod network restrictions may be permit unauthorized lateral movement.","Important"
"Azure.AKS.NodeAutoUpgrade","Operating system (OS) security updates should be applied to AKS nodes and rebooted as required to address security vulnerabilities.","Important"
"Azure.AKS.NodeMinPods","Azure Kubernetes Cluster (AKS) nodes should use a minimum number of pods.","Important"
"Azure.AKS.PlatformLogs","AKS clusters should collect platform diagnostic logs to monitor the state of workloads.","Important"
"Azure.AKS.PoolScaleSet","Deploy AKS clusters with nodes pools based on VM scale sets.","Important"
"Azure.AKS.PoolVersion","AKS node pools should match Kubernetes control plane version.","Important"
"Azure.AKS.SecretStore","Deploy AKS clusters with Secrets Store CSI Driver and store Secrets in Key Vault.","Important"
"Azure.AKS.SecretStoreRotation","Enable autorotation of Secrets Store CSI Driver secrets for AKS clusters.","Important"
"Azure.AKS.StandardLB","Azure Kubernetes Clusters (AKS) should use a Standard load balancer SKU.","Important"
"Azure.AKS.UptimeSLA","AKS clusters should have Uptime SLA enabled for a financially backed SLA.","Important"
"Azure.AKS.UseRBAC","Deploy AKS cluster with role-based access control (RBAC) enabled.","Important"
"Azure.AKS.Version","Older versions of Kubernetes may have known bugs or security vulnerabilities, and may have limited support.","Important"
"Azure.Alert.HighFrequencyQuery","High frequency scheduled queries are changed as a higher rate than low frequency queries.","Important"
"Azure.Alert.MetricAutoMitigate","Alerts that require manual intervention for mitigation can lead to increased personnel time and effort.","Important"
"Azure.APIM.APIDescriptors","APIs should have a display name and description.","Awareness"
"Azure.APIM.AvailabilityZone"," API Management instances should use availability zones in supported regions for high availability.","Important"
"Azure.APIM.CertificateExpiry","Renew certificates used for custom domain bindings.","Important"
"Azure.APIM.Ciphers","API Management should not accept weak or deprecated ciphers for client or backend communication.","Critical"
"Azure.APIM.CORSPolicy","Avoid using wildcard for any configuration option in CORS policies.","Important"
"Azure.APIM.DefenderCloud","APIs published in Azure API Management should be onboarded to Microsoft Defender for APIs.","Critical"
"Azure.APIM.EncryptValues","Encrypt all API Management named values with Key Vault secrets.","Important"
"Azure.APIM.HTTPBackend","Unencrypted communication could allow disclosure of information to an untrusted party.","Critical"
"Azure.APIM.HTTPEndpoint","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.APIM.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
