"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.ACR.Name","Container registry names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AI.FoundryNaming","Azure AI Foundry accounts without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.AKS.Name","Azure Kubernetes Service (AKS) cluster names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.APIM.Name","API Management service names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppConfig.Name","App Configuration store names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppGw.Name","Application Gateways should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppInsights.Name","Azure Resource Manager (ARM) has requirements for Application Insights resource names.","Awareness","Operational Excellence","-"
"Azure.AppInsights.Naming","Application Insights resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.ASG.Name","Application Security Group (ASG) names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Bastion.Name","Bastion hosts should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.CDN.EndpointName","Azure CDN Endpoint names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.ContainerApp.Name","Container Apps should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Cosmos.AccountName","Cosmos DB account names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Deployment.Name","Nested deployments should meet naming requirements of deployments.","Awareness","Operational Excellence","-"
"Azure.EventGrid.DomainNaming","Event Grid domains without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.EventGrid.SystemTopicNaming","Event Grid system topics without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.EventGrid.TopicNaming","Event Grid topics without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.Firewall.Name","Firewall names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Firewall.PolicyName","Firewall policy names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.FrontDoor.Name","Front Door names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.FrontDoor.WAF.Name","Front Door WAF policy names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Group.Name","Azure Resource Manager (ARM) has requirements for Resource Groups names.","Awareness","Operational Excellence","-"
"Azure.Group.Naming","Resource Groups without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.Group.RequiredTags","Resource groups without a standard tagging convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.Identity.UserAssignedName","Managed Identity names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.KeyVault.KeyName","Key Vault Key names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.KeyVault.Name","Key Vault names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.KeyVault.SecretName","Key Vault Secret names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.LB.Name","Load Balancer names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.LB.Naming","Load balancer names should use a standard prefix.","Awareness","Operational Excellence","-"
"Azure.Log.Name","Azure Resource Manager (ARM) has requirements for Azure Monitor Log workspace names.","Awareness","Operational Excellence","-"
"Azure.Log.Naming","Azure Monitor Log workspaces without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.MariaDB.DatabaseName","Azure Database for MariaDB databases should meet naming requirements.","Awareness","Operational Excellence","-"
